	class
1	1
2	1
3	1
4	6
5	1
6	1
7	1
8	1
9	1
10	6
11	5
12	1
13	5
14	5
15	5
16	0
17	5
18	0
19	1
20	1
21	6
22	1
23	5
24	1
25	1
26	6
27	6
28	6
29	5
30	5
31	1
32	5
33	1
34	1
35	6
36	6
37	5
38	6
39	5
40	5
41	1
42	1
43	6
44	5
45	5
46	5
47	6
48	0
49	1
50	0
51	1
52	6
53	5
54	6
55	1
56	0
57	5
58	1
59	6
60	6
61	1
62	5
63	6
64	1
65	6
66	1
67	6
68	5
69	1
70	1
71	1
72	6
73	1
74	6
75	5
76	6
77	5
78	1
79	6
80	6
81	1
82	5
83	1
84	5
85	5
86	1
87	1
88	1
89	6
90	5
91	6
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	5
100	1
101	0
102	5
103	1
104	1
105	1
106	6
107	1
108	6
109	1
110	1
111	5
112	6
113	6
114	6
115	1
116	1
117	5
118	1
119	1
120	1
121	5
122	6
123	1
124	5
125	1
126	1
127	0
128	6
129	0
130	1
131	5
132	1
133	1
134	6
135	1
136	1
137	1
138	5
139	1
140	1
141	0
142	0
143	1
144	1
145	1
146	5
147	5
148	5
149	5
150	5
151	0
152	6
153	6
154	1
155	1
156	1
157	6
158	1
159	6
160	1
161	1
162	1
163	1
164	5
165	6
166	1
167	6
168	6
169	6
170	0
171	1
172	1
173	6
174	5
175	1
176	1
177	1
178	5
179	5
180	1
181	1
182	6
183	5
184	5
185	6
186	1
187	1
188	5
189	1
190	6
191	5
192	0
193	6
194	1
195	5
196	5
197	1
198	5
199	1
200	6
201	6
202	6
203	6
204	5
205	5
206	6
207	5
208	1
209	6
210	1
211	6
212	1
213	6
214	0
215	1
216	6
217	6
218	1
219	1
220	1
221	5
222	1
223	5
224	6
225	6
226	1
227	1
228	5
229	6
230	5
231	6
232	1
233	5
234	1
235	5
236	5
237	1
238	1
239	0
240	1
241	5
242	1
243	5
244	1
245	1
246	5
247	1
248	1
249	1
250	6
251	6
252	1
253	5
254	1
255	1
256	1
257	1
258	5
259	6
260	1
261	5
262	6
263	6
264	1
265	6
266	5
267	1
268	5
269	1
270	1
271	6
272	6
273	1
274	0
275	1
276	1
277	5
278	1
279	1
280	5
281	6
282	1
283	5
284	6
285	5
286	5
287	6
288	1
289	1
290	5
291	5
292	5
293	6
294	6
295	1
296	6
297	6
298	1
299	1
300	1
301	6
302	0
303	1
304	1
305	6
306	5
307	6
308	1
309	1
310	6
311	6
312	0
313	6
314	1
315	1
316	1
317	5
318	1
319	6
320	1
321	1
322	6
323	1
324	5
325	1
326	6
327	1
328	6
329	6
330	5
331	1
332	5
333	1
334	1
335	1
336	5
337	6
338	1
339	1
340	5
341	5
342	5
343	1
344	5
345	5
346	1
347	6
348	1
349	1
350	6
351	6
352	1
353	6
354	1
355	0
356	5
357	1
358	5
359	5
360	1
361	5
362	1
363	5
364	1
365	1
366	1
367	6
368	1
369	5
370	1
371	6
372	5
373	1
374	6
375	1
376	6
377	6
378	1
379	5
380	1
381	1
382	1
383	6
384	1
385	1
386	6
387	1
388	1
389	1
390	5
391	1
392	5
393	5
394	0
395	0
396	1
397	6
398	5
399	1
400	0
401	1
402	1
403	1
404	1
405	1
406	1
407	6
408	5
409	5
410	1
411	1
412	0
413	6
414	6
415	6
416	6
417	1
418	1
419	5
420	5
421	6
422	5
423	1
424	5
425	1
426	5
427	5
428	1
429	1
430	1
431	1
432	6
433	0
434	5
435	5
436	0
437	1
438	6
439	5
440	1
441	1
442	6
443	0
444	5
445	1
446	1
447	0
448	5
449	1
450	6
451	1
