	class
1	1
2	1
3	1
4	5
5	5
6	1
7	6
8	1
9	1
10	6
11	1
12	5
13	6
14	6
15	6
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	6
25	6
26	5
27	6
28	1
29	1
30	6
31	1
32	1
33	1
34	6
35	1
36	1
37	1
38	5
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	5
49	1
50	1
51	0
52	6
53	1
54	1
55	1
56	1
57	1
58	6
59	1
60	6
61	1
62	5
63	1
64	5
65	5
66	5
67	5
68	1
69	5
70	1
71	6
72	5
73	1
74	1
75	6
76	1
77	1
78	5
79	5
80	6
81	1
82	6
83	1
84	1
85	1
86	5
87	5
88	1
